payment_id,payer_id,payer_name,payment_date,paid_amount,currency,payment_method,reference_number,bank_reference,notes
PAY-000001,CUST-000001,Acme Corp,2024-02-04,7841.48,USD,wire_transfer,INV-000001,BR-PAY-000001,Exact match for INV-000001
PAY-000002,CUST-000002,TechStart Inc,2024-09-10,3637.7,USD,ach,INV-000002,BR-PAY-000002,Exact match for INV-000002
PAY-000003,CUST-000003,Global Traders,2024-09-01,36160.57,USD,credit_card,INV-000003,BR-PAY-000003,Exact match for INV-000003
PAY-000004,CUST-000004,Innovate Solutions,2024-06-08,49457.15,USD,check,INV-000004,BR-PAY-000004,Exact match for INV-000004
PAY-000005,CUST-000005,DataFlow Systems,2024-07-21,38465.26,EUR,wire_transfer,INV-000005,BR-PAY-000005,Exact match for INV-000005
PAY-000006,CUST-000006,CloudNine Hosting,2024-08-02,37701.62,GBP,ach,INV-000006,BR-PAY-000006,Exact match for INV-000006
PAY-000007,CUST-000007,Enterprise Holdings,2024-06-16,23628.8,USD,credit_card,INV-000007,BR-PAY-000007,Exact match for INV-000007
PAY-000008,CUST-000008,StartupXYZ,2024-10-04,46921.53,USD,check,INV-000008,BR-PAY-000008,Exact match for INV-000008
PAY-000009,CUST-000009,MegaCorp Industries,2024-01-08,15571.05,USD,wire_transfer,INV-000009,BR-PAY-000009,Exact match for INV-000009
PAY-000010,CUST-000010,SmallBiz Co,2024-03-26,18495.75,USD,ach,INV-000010,BR-PAY-000010,Exact match for INV-000010
PAY-000011,CUST-000011,FutureTech Labs,2024-10-07,33088.72,EUR,credit_card,INV-000011,BR-PAY-000011,Exact match for INV-000011
PAY-000012,CUST-000012,Euro Partners,2024-09-04,26013.91,GBP,check,INV-000012,BR-PAY-000012,Exact match for INV-000012
PAY-000013,CUST-000013,British Solutions,2024-09-09,18706.82,USD,wire_transfer,INV-000013,BR-PAY-000013,Exact match for INV-000013
PAY-000014,CUST-000014,QuickPay Corp,2024-03-04,15367.23,USD,ach,INV-000014,BR-PAY-000014,Exact match for INV-000014
PAY-000015,CUST-000015,Alpha Dynamics,2024-01-20,7054.59,USD,credit_card,INV-000015,BR-PAY-000015,Exact match for INV-000015
PAY-000016,CUST-000016,Beta Industries,2024-12-24,35607.69,USD,check,INV-000016,BR-PAY-000016,Exact match for INV-000016
PAY-000017,CUST-000017,Gamma Solutions,2024-02-02,29906.4,EUR,wire_transfer,INV-000017,BR-PAY-000017,Exact match for INV-000017
PAY-000018,CUST-000018,Delta Services,2024-11-04,43884.33,GBP,ach,INV-000018,BR-PAY-000018,Exact match for INV-000018
PAY-000019,CUST-000019,Epsilon Tech,2024-10-14,24680.36,USD,credit_card,INV-000019,BR-PAY-000019,Exact match for INV-000019
PAY-000020,CUST-000020,Zeta Corp,2024-10-28,44783.49,USD,check,INV-000020,BR-PAY-000020,Exact match for INV-000020
PAY-000021,CUST-000001,Acme Corp,2024-08-15,47176.43,USD,wire_transfer,INV-000021,BR-PAY-000021,Exact match for INV-000021
PAY-000022,CUST-000002,TechStart Inc,2024-08-02,19350.76,USD,ach,INV-000022,BR-PAY-000022,Exact match for INV-000022
PAY-000023,CUST-000003,Global Traders,2024-10-09,30101.09,EUR,credit_card,INV-000023,BR-PAY-000023,Exact match for INV-000023
PAY-000024,CUST-000004,Innovate Solutions,2024-05-16,16858.2,GBP,check,INV-000024,BR-PAY-000024,Exact match for INV-000024
PAY-000025,CUST-000005,DataFlow Systems,2024-04-07,17436.68,USD,wire_transfer,INV-000025,BR-PAY-000025,Exact match for INV-000025
PAY-000026,CUST-000006,CloudNine Hosting,2024-12-23,10969.54,USD,ach,INV-000026,BR-PAY-000026,Exact match for INV-000026
PAY-000027,CUST-000007,Enterprise Holdings,2024-11-25,46269.6,USD,credit_card,INV-000027,BR-PAY-000027,Exact match for INV-000027
PAY-000028,CUST-000008,StartupXYZ,2024-09-22,12971.52,USD,check,INV-000028,BR-PAY-000028,Exact match for INV-000028
PAY-000029,CUST-000009,MegaCorp Industries,2024-01-02,30362.39,EUR,wire_transfer,INV-000029,BR-PAY-000029,Exact match for INV-000029
PAY-000030,CUST-000010,SmallBiz Co,2024-09-19,30659.2,GBP,ach,INV-000030,BR-PAY-000030,Exact match for INV-000030
PAY-000031,CUST-000001,Acme Corp,2024-07-23,46462.91,USD,wire_transfer,INV-000031,BR-PAY-000031,Tolerance match for INV-000031
PAY-000032,CUST-000002,TechStart Inc,2024-05-10,22035.13,USD,ach,INV-000032,BR-PAY-000032,Tolerance match for INV-000032
PAY-000033,CUST-000003,Global Traders,2024-05-24,5898.3,USD,credit_card,INV-000033,BR-PAY-000033,Tolerance match for INV-000033
PAY-000034,CUST-000004,Innovate Solutions,2024-05-17,29893.06,USD,check,INV-000034,BR-PAY-000034,Tolerance match for INV-000034
PAY-000035,CUST-000005,DataFlow Systems,2024-04-20,2703.75,EUR,wire_transfer,INV-000035,BR-PAY-000035,Tolerance match for INV-000035
PAY-000036,CUST-000006,CloudNine Hosting,2024-02-14,5299.45,GBP,ach,INV-000036,BR-PAY-000036,Tolerance match for INV-000036
PAY-000037,CUST-000007,Enterprise Holdings,2024-02-12,36359.18,USD,credit_card,INV-000037,BR-PAY-000037,Tolerance match for INV-000037
PAY-000038,CUST-000001,Acme Corp,2024-06-27,22450.35,USD,wire_transfer,INV-000038-PART1,BR-PAY-000038,Split payment 1 for INV-000038
PAY-000039,CUST-000001,Acme Corp,2024-10-24,22450.35,USD,wire_transfer,INV-000038-PART2,BR-PAY-000039,Split payment 2 for INV-000038
PAY-000040,CUST-000002,TechStart Inc,2024-04-06,16204.33,USD,wire_transfer,INV-000039-PART1,BR-PAY-000040,Split payment 1 for INV-000039
PAY-000041,CUST-000002,TechStart Inc,2024-03-21,16204.33,USD,wire_transfer,INV-000039-PART2,BR-PAY-000041,Split payment 2 for INV-000039
PAY-000042,CUST-000200,Unknown Payer 1,2024-07-03,38180.39,USD,wire_transfer,UNKNOWN-1,BR-PAY-000042,Orphan payment 1
PAY-000043,CUST-000201,Unknown Payer 2,2024-09-27,46812.81,USD,ach,UNKNOWN-2,BR-PAY-000043,Orphan payment 2
PAY-000044,CUST-000202,Unknown Payer 3,2024-11-16,10587.06,USD,credit_card,UNKNOWN-3,BR-PAY-000044,Orphan payment 3
PAY-000045,CUST-000203,Unknown Payer 4,2024-04-25,1131.74,USD,check,UNKNOWN-4,BR-PAY-000045,Orphan payment 4
PAY-000046,CUST-000204,Unknown Payer 5,2024-10-01,3357.46,USD,wire_transfer,UNKNOWN-5,BR-PAY-000046,Orphan payment 5
